Comparison	S1	S2	S3	S4	R1	R2	R3	R4
Comparaison/Prog_prog_gem-DE.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	ProgenitorNogeminin.DE.R1	ProgenitorNogeminin.DE.R2	ProgenitorNogeminin.DE.R3	ProgenitorNogeminin.DE.R4
Comparaison/Prog_prog_gem-ELB.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4
Comparaison/Prog_prog_gem+DE.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	Progenitorgeminin.DE.R1	Progenitorgeminin.DE.R2	Progenitorgeminin.DE.R3	Progenitorgeminin.DE.R4
Comparaison/Prog_prog_gem+ELB.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	Progenitorgeminin.ELB.R1	Progenitorgeminin.ELB.R2	Progenitorgeminin.ELB.R3	Progenitorgeminin.ELB.R4
Comparaison/Prog_sperm_gem-DE.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	SpermNogeminin.DE.R1	SpermNogeminin.DE.R2	SpermNogeminin.DE.R3	SpermNogeminin.DE.R4
Comparaison/Prog_sperm_gem-ELB.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	SpermNogeminin.ELB.R1	SpermNogeminin.ELB.R2	SpermNogeminin.ELB.R3	SpermNogeminin.ELB.R4
Comparaison/Prog_sperm_gem+DE.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	Spermgeminin.DE.R1	Spermgeminin.DE.R2	Spermgeminin.DE.R3	Spermgeminin.DE.R4
Comparaison/Prog_sperm_gem+ELB.tsv	Progenitor.R1	Progenitor.R2	Progenitor.R3	Progenitor.R4	Spermgeminin.ELB.R1	Spermgeminin.ELB.R2	Spermgeminin.ELB.R3	Spermgeminin.ELB.R4
Comparaison/Prog_gem-_sperm_gem-DE.tsv	ProgenitorNogeminin.DE.R1	ProgenitorNogeminin.DE.R2	ProgenitorNogeminin.DE.R3	ProgenitorNogeminin.DE.R4	SpermNogeminin.DE.R1	SpermNogeminin.DE.R2	SpermNogeminin.DE.R3	SpermNogeminin.DE.R4
Comparaison/Prog_gem-_sperm_gem+DE.tsv	ProgenitorNogeminin.DE.R1	ProgenitorNogeminin.DE.R2	ProgenitorNogeminin.DE.R3	ProgenitorNogeminin.DE.R4	Spermgeminin.DE.R1	Spermgeminin.DE.R2	Spermgeminin.DE.R3	Spermgeminin.DE.R4
Comparaison/Prog_gem-ELB_prog_gem-DE.tsv	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4	ProgenitorNogeminin.DE.R1	ProgenitorNogeminin.DE.R2	ProgenitorNogeminin.DE.R3	ProgenitorNogeminin.DE.R4
Comparaison/Prog_gem-ELB_prog_gem+DE.tsv	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4	Progenitorgeminin.DE.R1	Progenitorgeminin.DE.R2	Progenitorgeminin.DE.R3	Progenitorgeminin.DE.R4
Comparaison/Prog_gem-ELB_sperm_gem-DE.tsv	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4	SpermNogeminin.DE.R1	SpermNogeminin.DE.R2	SpermNogeminin.DE.R3	SpermNogeminin.DE.R4
Comparaison/Prog_gem-_sperm_gem-ELB.tsv	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4	SpermNogeminin.ELB.R1	SpermNogeminin.ELB.R2	SpermNogeminin.ELB.R3	SpermNogeminin.ELB.R4
Comparaison/Prog_gem-ELB_sperm_gem+DE.tsv	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4	Spermgeminin.DE.R1	Spermgeminin.DE.R2	Spermgeminin.DE.R3	Spermgeminin.DE.R4
Comparaison/Prog_gem-_sperm_gem+ELB.tsv	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4	Spermgeminin.ELB.R1	Spermgeminin.ELB.R2	Spermgeminin.ELB.R3	Spermgeminin.ELB.R4
Comparaison/Prog_gem+_prog_gem-DE.tsv	Progenitorgeminin.DE.R1	Progenitorgeminin.DE.R2	Progenitorgeminin.DE.R3	Progenitorgeminin.DE.R4	ProgenitorNogeminin.DE.R1	ProgenitorNogeminin.DE.R2	ProgenitorNogeminin.DE.R3	ProgenitorNogeminin.DE.R4
Comparaison/Prog_gem+_sperm_gem-DE.tsv	Progenitorgeminin.DE.R1	Progenitorgeminin.DE.R2	Progenitorgeminin.DE.R3	Progenitorgeminin.DE.R4	SpermNogeminin.DE.R1	SpermNogeminin.DE.R2	SpermNogeminin.DE.R3	SpermNogeminin.DE.R4
Comparaison/Prog_gem+_sperm_gem+DE.tsv	Progenitorgeminin.DE.R1	Progenitorgeminin.DE.R2	Progenitorgeminin.DE.R3	Progenitorgeminin.DE.R4	Spermgeminin.DE.R1	Spermgeminin.DE.R2	Spermgeminin.DE.R3	Spermgeminin.DE.R4
Comparaison/Prog_gem+ELB_prog_gem-DE.tsv	Progenitorgeminin.ELB.R1	Progenitorgeminin.ELB.R2	Progenitorgeminin.ELB.R3	Progenitorgeminin.ELB.R4	ProgenitorNogeminin.DE.R1	ProgenitorNogeminin.DE.R2	ProgenitorNogeminin.DE.R3	ProgenitorNogeminin.DE.R4
Comparaison/Prog_gem+_prog_gem-ELB.tsv	Progenitorgeminin.ELB.R1	Progenitorgeminin.ELB.R2	Progenitorgeminin.ELB.R3	Progenitorgeminin.ELB.R4	ProgenitorNogeminin.ELB.R1	ProgenitorNogeminin.ELB.R2	ProgenitorNogeminin.ELB.R3	ProgenitorNogeminin.ELB.R4
Comparaison/Prog_gem+ELB_prog_gem+DE.tsv	Progenitorgeminin.ELB.R1	Progenitorgeminin.ELB.R2	Progenitorgeminin.ELB.R3	Progenitorgeminin.ELB.R4	Progenitorgeminin.DE.R1	Progenitorgeminin.DE.R2	Progenitorgeminin.DE.R3	Progenitorgeminin.DE.R4
Comparaison/Prog_gem+ELB_sperm_gem-DE.tsv	Progenitorgeminin.ELB.R1	Progenitorgeminin.ELB.R2	Progenitorgeminin.ELB.R3	Progenitorgeminin.ELB.R4	SpermNogeminin.DE.R1	SpermNogeminin.DE.R2	SpermNogeminin.DE.R3	SpermNogeminin.DE.R4
Comparaison/Prog_gem+_sperm_gem-ELB.tsv	Progenitorgeminin.ELB.R1	Progenitorgeminin.ELB.R2	Progenitorgeminin.ELB.R3	Progenitorgeminin.ELB.R4	SpermNogeminin.ELB.R1	SpermNogeminin.ELB.R2	SpermNogeminin.ELB.R3	SpermNogeminin.ELB.R4
Comparaison/Prog_gem+ELB_sperm_gem+DE.tsv	Progenitorgeminin.ELB.R1	Progenitorgeminin.ELB.R2	Progenitorgeminin.ELB.R3	Progenitorgeminin.ELB.R4	Spermgeminin.DE.R1	Spermgeminin.DE.R2	Spermgeminin.DE.R3	Spermgeminin.DE.R4
