ProtID	GeneXL	GeneXLok	HumanID	HumanName
A0A1L8EKD4	abca5.S	abca5.S	23461	ABCA5
A0A1L8EKD7	tm9sf4.S	tm9sf4.S	9777	TM9SF4
A0A1L8EKF0	dnajc7.S	dnajc7.S	7266	DNAJC7
A0A1L8EKH0	cavin1.S	cavin1.S	284119	CAVIN1
A0A1L8EKI6	cnp.S	cnp.S	1267	CNP
A0A1L8EKI7	kif3b.S	kif3b.S	9371	KIF3B
A0A1L8EKJ2	wipf2.S	wipf2.S	147179	WIPF2
A0A1L8EKK2	msl1.S	msl1.S	339287	MSL1
A0A1L8EKL0	fkbp10.S	fkbp10.S	60681	FKBP10
A0A1L8EKP4	npepps.S	npepps.S	9520	NPEPPS
A0A1L8EKV5	fbxl20.S	fbxl20.S	84961	FBXL20
A0A1L8EKW3	phb1.S	phb.S	5245	PHB1
A0A1L8EKW4	calcoco2.S	calcoco2.S	10241	CALCOCO2
A0A1L8EKX8	cbx1.S	cbx1.S	10951	CBX1
A0A1L8EKY9	mrpl10.S	mrpl10.S	124995	MRPL10
A0A1L8EL31	gpatch8.S	gpatch8.S	23131	GPATCH8
A0A1L8EL49	gosr2.S	gosr2.S	9570	GOSR2
A0A1L8EL54	ddx42.S	ddx42.S	11325	DDX42
A0A1L8EL57	psmd11.S	psmd11.S	5717	PSMD11
A0A1L8EL76	smarcd3.S	smarcd3.S	6604	SMARCD3
A0A1L8EL99	cdc27.S	cdc27.S	996	CDC27
A0A1L8ELC5	cse1l.S	cse1l.S	1434	CSE1L
A0A1L8ELD8	ube2v1.S	ube2v1.S	7335	UBE2V1
A0A1L8ELE6	ptpn1.S	ptpn1.S	5770	PTPN1
A0A1L8ELF7	spata2.S	spata2.S	9825	SPATA2
A0A1L8ELG3	rnf114.S	rnf114.S	55905	RNF114
A0A1L8ELG6	znf217.S	znf217.S	7764	ZNF217
A0A1L8ELH0	adnp.S	adnp.S	23394	ADNP
A0A1L8ELJ9	rtf2.S	rtf2.S	51507	RTF2
A0A1L8ELU2	ythdf1.S	ythdf1.S	54915	YTHDF1
A0A1L8ELW9	cox4i2.S	cox4i2.S	84701	COX4I2
A0A1L8ELX0	LOC108702682	retreg3.S	162427	RETREG3
A0A1L8ELX8	prpf6.S	prpf6.S	24148	PRPF6
A0A1L8ELZ2	nsfl1c.S	nsfl1c.S	55968	NSFL1C
A0A1L8EM14	cpsf4l.S	cpsf4l.S	642843	CPSF4L
A0A1L8EM16	pgs1.S	pgs1.S	9489	PGS1
A0A1L8EM47	cog1.S	cog1.S	9382	COG1
A0A1L8EM82	cbx2.S	cbx2.S	84733	CBX2
A0A1L8EMJ0	dhx35.S	dhx35.S	60625	DHX35
A0A1L8EML1	actr5.S	actr5.S	79913	ACTR5
A0A1L8EMM3	arhgap40.S	arhgap40.S	343578	ARHGAP40
A0A1L8EMP1	chd6.S	chd6.S	84181	CHD6
A0A1L8EMR0	fdxr.S	fdxr.S	2232	FDXR
A0A1L8EMU8	acsf2.S	acsf2.S	80221	ACSF2
A0A1L8EMX4	ube2o.S	ube2o.S	63893	UBE2O
A0A1L8EMX9	srp68.S	srp68.S	6730	SRP68
A0A1L8EMZ3	septin9.S	septin9.S	10801	SEPTIN9
A0A1L8EN71	myh10.S	myh10.S	4628	MYH10
A0A1L8ENC4	LOC108702864	atad5.S	79915	ATAD5
A0A1L8END8	trim25.S	trim25.S	7706	TRIM25
A0A1L8ENF7	ddx18.S	ddx18.S	8886	DDX18
A0A1L8ENF9	tex2.2.S	tex2.2.S	55852	TEX2
A0A1L8ENJ4	helz.S	helz.S	9931	HELZ
A0A1L8ENK3	osbpl11.S	osbpl11.S	114885	OSBPL11
A0A1L8ENT6	nhej1.S	nhej1.S	79840	NHEJ1
A0A1L8ENX8	prpf40a.S	prpf40a.S	55660	PRPF40A
A0A1L8ENY1	ccnt2.S	ccnt2.S	905	CCNT2
A0A1L8ENZ0	spopl.S	spopl.S	339745	SPOPL
A0A1L8EP51	galnt3.S	galnt3.S	2591	GALNT3
A0A1L8EP64	ppig.S	ppig.S	9360	PPIG
A0A1L8EP76	arl6ip6.S	arl6ip6.S	151188	ARL6IP6
A0A1L8EP87	gpr155.S	gpr155.S	151556	GPR155
A0A1L8EP90	LOC108703005	mtx2.S	10651	MTX2
A0A1L8EPF0	nup35.S	nup35.S	129401	NUP35
A0A1L8EPF3	lss.S	lss.S	4047	LSS
A0A1L8EPJ5	col6a2.S	col6a2.S	1292	COL6A2
A0A1L8EPM2	ehhadh.S	ehhadh.S	1962	EHHADH
A0A1L8EPN2	ndufb3.S	ndufb3.S	4709	NDUFB3
A0A1L8EPU6	wdr12.S	wdr12.S	55759	WDR12
A0A1L8EPX3	pms1.S	pms1.S	5378	PMS1
A0A1L8EPX4	idh1.S	idh1.S	3417	IDH1
A0A1L8EPX5	hspe1.S	hspe1.S	3336	HSPE1
A0A1L8EPX7	mfsd6.S	mfsd6.S	54842	MFSD6
A0A1L8EPZ6	luc7l.S	luc7l.S	55692	LUC7L
A0A1L8EQ01	gls.S	gls.S	2744	GLS
A0A1L8EQ20	fscn1.S	fscn1.S	6624	FSCN1
A0A1L8EQ28	naga.S	naga.S	4668	NAGA
A0A1L8EQ51	marf1.S	marf1.S	9665	MARF1
A0A1L8EQ76	tmc7.S	tmc7.S	79905	TMC7
A0A1L8EQ87	parn.S	parn.S	5073	PARN
A0A1L8EQ91	myh11.S	myh11.S	4629	MYH11
A0A1L8EQB6	dnaaf5.S	dnaaf5.S	54919	DNAAF5
A0A1L8EQD3	eif3b.S	eif3b.S	8662	EIF3B
A0A1L8EQF0	trrap.S	trrap.S	8295	TRRAP
A0A1L8EQG7	vps35l.S	vps35l.S	57020	VPS35L
A0A1L8EQI5	dnah3.S	dnah3.S	55567	DNAH3
A0A1L8EQI9	usp31.S	usp31.S	57478	USP31
A0A1L8EQP6	trap1.S	trap1.S	10131	TRAP1
A0A1L8EQQ6	dnaja3.S	dnaja3.S	9093	DNAJA3
A0A1L8EQR0	cramp1.S	cramp1.S	57585	CRAMP1
A0A1L8EQS4	tnrc6a.S	tnrc6a.S	27327	TNRC6A
A0A1L8EQX4	LOC108703225	rps2.S	6187	RPS2
A0A1L8EQY2	cops3.S	cops3.S	8533	COPS3
A0A1L8ER33	stub1.S	stub1.S	10273	STUB1
A0A1L8ER44	glyr1.S	glyr1.S	84656	GLYR1
A0A1L8ER50	rnf40.S	rnf40.S	9810	RNF40
A0A1L8ER55	ciao3.S	ciao3.S	64428	CIAO3
